длительный,продолжительный,недолгий,длиться,утомительный,долгий
час,неделя,вечер,ночь,месяц,день
мертать,практиканточка,безмыгин,полушептать,тулейн,мыслей
дорлайн,бюдо,крейдок,гофмайер,мафлие,ним
обворожительный,обаяние,очаровательный,привлекательный,общительный,обаятельный
бенить,равня,дотаскать,опалево,наплював,них
с,в,как,он,из,вокруг
улитс,егом,корфакан,гангаев,литс,людей
много,низко,посредине,лишний,меньший,мало
древний,некогда,резной,затейливый,дедовский,старинный
неожиданно,мгновение,мгновенно,миг,тотчас,внезапно
бодро,жизнерадостный,бодрость,радостный,помолодеть,бодрый
проходить,миновать,выходить,добираться,пересекать,пройти
понимать,вовсе,вообще,разумеется,какой,дело
разработка,план,прибейник,строительство,дурранд,проект
как,он,м,к,с,слишком
девять,двенадцать,восемь,семь,шесть,одиннадцать
успевать,стремительно,сразу,медленно,торопливо,быстро
преступление,убийца,покушение,убивать,злодеяние,убийство
царие,отдать,помниша,сотворих,осквернител,очистить
слабый,мощный,могучий,сильно,крепкий,сильный
нечаянно,случайный,вероятно,невзначай,кстати,случайно
плавик,гульча,таргитай,варяжко,войдан,могут
холст,картина,мольберт,художник,офорт,полотно
понемногу,помалу,вскоре,начинать,вначале,постепенно
поскольку,считать,представлять,вообще,никакой,иметь
контролироваться,контроль,контролируемый,координировать,управлять,контролировать
разумеется,вовсе,несомненно,нежели,безусловно,отнюдь
еле,успевать,сразу,последний,тотчас,едва
вообще,иначе,разумеется,наоборот,наверное,вовсе
многие,некоторый,большинство,многий,остальной,некоторые
причем,оба,прежде,очередь,вновь,одновременно
кряду,дважды,неделя,трижды,поочередно,подряд
восемнадцать,семнадцать,четырнадцать,пятнадцать,двадцать,шестнадцать
афганистан,кабул,афганец,пакистанский,афган,афганский
противник,вражеский,сражаться,неприятель,воин,враг
омръзнать,предавание,есторский,ръкатый,качулок,поставить
отец,дочь,брат,жена,махалаф,сын
5177,сказочка,сказка,7057,раскидывание,страшилка
пространственный,аврора,1990,3,нир,1986,11,континуум,тонограф,измерение
рейдмахер,ноэльс,эберната,коронер,констебль,шериф
мирозда,осознава,рофический,подверг,телькелевский,уничтожить
функционирование,функциональный,структура,процесс,подсистема,функция
фильм,телесериал,многосерийный,голливудский,овеллизация,сериал
светлокрылый,забородатеть,валюшенька,скорнищев,мордвинка,удивиться
прочь,убираться,сторонка,отходить,держаться,далеко
три,несколько,столько,вместе,четыре,целый
родерих,эльдил,помастить,тормашка,овесян,мира
вмешиваться,последствие,вторжение,осложнение,конфликт,вмешательство
испытывать,ощущение,любовь,сознание,жалость,чувство
декерсоньер,нии13,вперрред,кэгэбист,торгсенный,когда
касса,проездной,билетик,авиабилет,билетный,билет
выражать,лицо,взгляд,улыбка,физиономия,выражение
навеки,навечно,навек,надолго,отныне,навсегда
начинать,отвечать,спокойно,приниматься,свой,продолжать
частность,образование,принадлежать,родство,выходец,происхождение
раздраженно,сердито,нетерпение,нетерпеливый,недовольно,нетерпеливо
расследовать,дознание,розыск,следователь,разбирательство,расследование
наверное,наверняка,вряд,вовсе,возможно,похоже
сам,це,мена,що,як,так
в,как,он,м,вот,там
карцино,холь,инород,субпекторальный,средоста,образов
обходить,избегать,объехать,миновать,сторониться,стороной
наверно,наверняка,похоже,пожалуй,вообще,наверное
ляющ,рвичный,рвоисточник,ствля,уподобл,раскрыть
л.зандер,заботливый,любовь,привязанность,преданный,любящий
принцип,сформулировать,доктрина,сливер,постулат,кредо
съедать,пить,кушать,еда,вкусный,есть
трясея,знобей,верхогрызок,огневыця,всполыхнуть,огней
поводить,идти,вступать,проводить,ведущий,вести
воедина,сверхвеликий,загорцев,неугнетенный,менезеш,объединиться
пробиваться,просвечивать,продираться,щель,прорываться,сквозь
мой,ваш,пусть,анютушка,пускай,твой
он,с,в,как,из,этот
говорить,знать,думать,правда,хотеть,сказать
общепризнанный,считаться,признавать,бесспорный,официально,признанный
знаменитый,известно,называть,упоминать,например,известный
основной,преимущественно,большинство,исключительно,основный,основное
намного,нежели,несравненно,достаточно,значительно,гораздо
